Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SD,HK Control ΔCт Mean,HK Control ΔCт SD,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,MTP
D10,3T3 4.8 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,17.92682076,17.86513519,0.064474881,,,,,,,TRUE,16888.34445,TRUE,3,10,1,83.36048889,,,,N
D11,3T3 4.8 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,17.87039375,17.86513519,0.064474881,,,,,,,TRUE,16888.34445,TRUE,3,11,1,83.06487274,,,,N
D12,3T3 4.8 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,17.79819298,17.86513519,0.064474881,,,,,,,TRUE,16888.34445,TRUE,3,11,1,83.06487274,,,,N
E2,3T3 3.4 uM Zinc,Gli1,UNKNOWN,SYBR,None,2.928205729,2.725390673,3.146113634,30.83884621,30.77060318,0.096511565,,13.97755051,0.103553884,,,-1.55001688,TRUE,8195.397829,TRUE,3,24,1,88.13142395,,,,N
E3,3T3 3.4 uM Zinc,Gli1,UNKNOWN,SYBR,None,2.928205729,2.725390673,3.146113634,30.70235825,30.77060318,0.096511565,,13.97755051,0.103553884,,,-1.55001688,TRUE,8195.397829,TRUE,3,21,1,87.67936707,83.95291138,73.22074127,,Y
E4,3T3 0 uM Zinc,Gli1,UNKNOWN,SYBR,None,1,0.820380092,1.218947172,31.51700401,31.31658173,0.283441275,,15.52756691,0.28563565,,,0,TRUE,8195.397829,TRUE,3,26,1,87.82842255,83.35668182,,,Y
E5,3T3 0 uM Zinc,Gli1,UNKNOWN,SYBR,None,1,0.820380092,1.218947172,31.11615753,31.31658173,0.283441275,,15.52756691,0.28563565,,,0,TRUE,8195.397829,TRUE,3,24,1,87.8363266,83.66329193,71.88937378,,Y
F1,3T3 3.4 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.76651001,16.79305267,0.037535645,,,,,,,TRUE,16888.34445,TRUE,3,9,1,83.95858002,,,,N
F3,3T3 3.4 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.81959343,16.79305267,0.037535645,,,,,,,TRUE,16888.34445,TRUE,3,9,1,84.10197449,,,,N
F5,3T3 0 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,15.81400108,15.78901291,0.03533794,,,,,,,TRUE,16888.34445,TRUE,3,8,1,83.81233215,,,,N
F6,3T3 0 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,15.76402569,15.78901291,0.03533794,,,,,,,TRUE,16888.34445,TRUE,3,10,1,83.81233215,,,,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,GAPDH,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Standard Deviations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,3T3 0 uM Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,
